match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202401,2024,2024-03-22,1,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RCB,CSK,RCB,bat,173.0,6.0,176.0,4.0,CSK,6.0,wickets,Mustafizur Rahman,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, KD Karthik, KV Sharma, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, DL Chahar, M Theekshana, TU Deshpande, Mustafizur Rahman",HAS Khalid,VK Sharma,Nitin Menon
202402,2024,2024-03-23,2,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,DC,PBKS,PBKS,field,174.0,9.0,177.0,6.0,PBKS,4.0,wickets,SM Curran,"DA Warner, MR Marsh, SD Hope, RR Pant, RK Bhui, T Stubbs, AR Patel, Sumit Kumar, Abishek Porel, Kuldeep Yadav, KK Ahmed, I Sharma","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, LS Livingstone, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar",J Madanagopal,NA Patwardhan,AG Wharf
202403,2024,2024-03-23,3,"Eden Gardens, Kolkata",Kolkata,KKR,SRH,SRH,field,208.0,7.0,204.0,7.0,KKR,4.0,runs,AD Russell,"Suyash Sharma, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, Ramandeep Singh, RK Singh, AD Russell, MA Starc, Harshit Rana, CV Varun","T Natarajan, MA Agarwal, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, M Markande",R Pandit,YC Barde,BNJ Oxenford
202404,2024,2024-03-24,4,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,LSG,RR,bat,193.0,4.0,173.0,6.0,RR,20.0,runs,SV Samson,"YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, Sandeep Sharma, YS Chahal, Avesh Khan, TA Boult, N Burger","Q de Kock, KL Rahul, D Padikkal, A Badoni, DJ Hooda, N Pooran, MP Stoinis, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, Yash Thakur",A Totre,HDPK Dharmasena,KN Ananthapadmanabhan
202405,2024,2024-03-24,5,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,MI,MI,field,168.0,6.0,162.0,9.0,GT,6.0,runs,B Sai Sudharsan,"MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, V Shankar, R Tewatia, Rashid Khan, UT Yadav, R Sai Kishore, SH Johnson","L Wood, Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, TH David, HH Pandya, G Coetzee, SZ Mulani, PP Chawla, JJ Bumrah",VA Kulkarni,VK Sharma,Nitin Menon
202406,2024,2024-03-25,6,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,PBKS,RCB,RCB,field,176.0,6.0,178.0,6.0,RCB,4.0,wickets,V Kohli,"Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, LS Livingstone, SM Curran, JM Sharma, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar","Yash Dayal, V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, Anuj Rawat, KD Karthik, MK Lomror, AS Joseph, Mayank Dagar, Mohammed Siraj",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202407,2024,2024-03-26,7,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,GT,GT,field,206.0,6.0,143.0,8.0,CSK,63.0,runs,S Dube,"M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, S Dube, DJ Mitchell, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, V Shankar, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, R Sai Kishore",AG Wharf,Tapan Sharma,J Madanagopal
202408,2024,2024-03-27,8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,MI,MI,field,277.0,3.0,246.0,5.0,SRH,31.0,runs,Abhishek Sharma,"Umran Malik, MA Agarwal, TM Head, Abhishek Sharma, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, M Markande, JD Unadkat","KT Maphaka, RG Sharma, Ishan Kishan, Naman Dhir, Tilak Varma, HH Pandya, TH David, R Shepherd, G Coetzee, JJ Bumrah, PP Chawla, SZ Mulani",KN Ananthapadmanabhan,UV Gandhe,HDPK Dharmasena
202409,2024,2024-03-28,9,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,DC,DC,field,185.0,5.0,173.0,5.0,RR,12.0,runs,R Parag,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","KK Ahmed, DA Warner, MR Marsh, RK Bhui, RR Pant, T Stubbs, Abishek Porel, AR Patel, Sumit Kumar, Kuldeep Yadav, A Nortje, Mukesh Kumar",A Nand Kishore,Nitin Menon,VK Sharma
202410,2024,2024-03-29,10,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,KKR,KKR,field,182.0,6.0,186.0,3.0,KKR,7.0,wickets,SP Narine,"Vijaykumar Vyshak, V Kohli, F du Plessis, C Green, GJ Maxwell, RM Patidar, Anuj Rawat, KD Karthik, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","CV Varun, PD Salt, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, AS Roy, Harshit Rana, A Raghuvanshi",AK Chaudhary,R Pandit,BNJ Oxenford
202411,2024,2024-03-30,11,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,PBKS,LSG,bat,199.0,8.0,178.0,5.0,LSG,21.0,runs,MP Yadav,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, MP Yadav, M Siddharth","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, JM Sharma, LS Livingstone, SM Curran, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar",J Madanagopal,Navdeep Singh,AG Wharf
202412,2024,2024-03-31,12,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,SRH,GT,SRH,bat,162.0,8.0,168.0,3.0,GT,7.0,wickets,MM Sharma,"TM Head, MA Agarwal, Abhishek Sharma, AK Markram, H Klaasen, Shahbaz Ahmed, Abdul Samad, Washington Sundar, PJ Cummins, B Kumar, M Markande, JD Unadkat","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, V Shankar, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, Noor Ahmad, DG Nalkande",HAS Khalid,VK Sharma,
202413,2024,2024-03-31,13,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,DC,CSK,DC,bat,191.0,5.0,171.0,6.0,DC,20.0,runs,KK Ahmed,"Rasikh Salam, PP Shaw, DA Warner, RR Pant, MR Marsh, T Stubbs, AR Patel, Abishek Porel, A Nortje, Mukesh Kumar, I Sharma, KK Ahmed","M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman",HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan
202414,2024,2024-04-01,14,"Wankhede Stadium, Mumbai",Mumbai,MI,RR,RR,field,125.0,9.0,127.0,4.0,RR,6.0,wickets,TA Boult,"Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, HH Pandya, PP Chawla, TH David, G Coetzee, JJ Bumrah, Akash Madhwal, KT Maphaka","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, SB Dubey, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, N Burger",MV Saidharshan Kumar,YC Barde,BNJ Oxenford
202415,2024,2024-04-02,15,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,LSG,RCB,RCB,field,181.0,5.0,153.0,10.0,LSG,28.0,runs,MP Yadav,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Yash Thakur, Naveen-ul-Haq, MP Yadav","Yash Dayal, V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, MK Lomror, KD Karthik, Mayank Dagar, RJW Topley, Mohammed Siraj",J Madanagopal,NA Patwardhan,AG Wharf
202416,2024,2024-04-03,16,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,KKR,DC,KKR,bat,272.0,7.0,166.0,10.0,KKR,106.0,runs,SP Narine,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, SS Iyer, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","KK Ahmed, DA Warner, PP Shaw, MR Marsh, Abishek Porel, RR Pant, T Stubbs, AR Patel, Sumit Kumar, Rasikh Salam, A Nortje, I Sharma",A Totre,UV Gandhe,HDPK Dharmasena
202417,2024,2024-04-04,17,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,PBKS,PBKS,field,199.0,4.0,200.0,7.0,PBKS,3.0,wickets,Shashank Singh,"MM Sharma, WP Saha, Shubman Gill, KS Williamson, B Sai Sudharsan, V Shankar, R Tewatia, Azmatullah Omarzai, Rashid Khan, Noor Ahmad, UT Yadav, DG Nalkande","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",Nitin Menon,VA Kulkarni,VK Sharma
202418,2024,2024-04-05,18,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,CSK,SRH,SRH,field,165.0,5.0,166.0,4.0,SRH,6.0,wickets,Abhishek Sharma,"Mukesh Choudhary, R Ravindra, RD Gaikwad, AM Rahane, S Dube, RA Jadeja, DJ Mitchell, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, M Theekshana","T Natarajan, TM Head, Abhishek Sharma, AK Markram, Shahbaz Ahmed, H Klaasen, Nithish Kumar Reddy, Abdul Samad, PJ Cummins, B Kumar, M Markande, JD Unadkat",R Pandit,YC Barde,BNJ Oxenford
202419,2024,2024-04-06,19,"Sawai Mansingh Stadium, Jaipur",Jaipur,RCB,RR,RR,field,183.0,3.0,189.0,4.0,RR,6.0,wickets,JC Buttler,"H Sharma, V Kohli, F du Plessis, GJ Maxwell, Saurav Chauhan, C Green, RM Patidar, KD Karthik, RJW Topley, Mayank Dagar, Mohammed Siraj, Yash Dayal","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, N Burger, SB Dubey",AG Wharf,Tapan Sharma,J Madanagopal
202420,2024,2024-04-07,20,"Wankhede Stadium, Mumbai",Mumbai,MI,DC,DC,field,234.0,5.0,205.0,8.0,MI,29.0,runs,R Shepherd,"Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, HH Pandya, Tilak Varma, TH David, R Shepherd, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","KK Ahmed, PP Shaw, DA Warner, Abishek Porel, T Stubbs, RR Pant, AR Patel, Lalit Yadav, Kumar Kushagra, JA Richardson, A Nortje, I Sharma",HDPK Dharmasena,UV Gandhe,KN Ananthapadmanabhan
202421,2024,2024-04-07,21,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,GT,LSG,bat,163.0,5.0,130.0,10.0,LSG,33.0,runs,Yash Thakur,"M Siddharth, Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur, MP Yadav","MM Sharma, B Sai Sudharsan, Shubman Gill, KS Williamson, BR Sharath, V Shankar, DG Nalkande, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, Noor Ahmad",A Nand Kishore,VK Sharma,Nitin Menon
202422,2024,2024-04-08,22,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,KKR,CSK,CSK,field,137.0,9.0,141.0,3.0,CSK,7.0,wickets,RA Jadeja,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, Ramandeep Singh, RK Singh, AD Russell, AS Roy, MA Starc, VG Arora, CV Varun","Mustafizur Rahman, R Ravindra, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, AM Rahane, Sameer Rizvi, RA Jadeja, SN Thakur, TU Deshpande, M Theekshana",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202423,2024,2024-04-09,23,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,SRH,PBKS,PBKS,field,182.0,9.0,180.0,6.0,SRH,2.0,runs,Nithish Kumar Reddy,"TM Head, Abhishek Sharma, AK Markram, Nithish Kumar Reddy, RA Tripathi, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, Sikandar Raza, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",Navdeep Singh,NA Patwardhan,AG Wharf
202424,2024,2024-04-10,24,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,GT,GT,field,196.0,3.0,199.0,7.0,GT,3.0,wickets,Rashid Khan,"KA Maharaj, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, KR Sen, YS Chahal","MM Sharma, B Sai Sudharsan, Shubman Gill, MS Wade, A Manohar, V Shankar, R Tewatia, M Shahrukh Khan, Rashid Khan, Noor Ahmad, UT Yadav, SH Johnson",HDPK Dharmasena,Vinod Seshan,KN Ananthapadmanabhan
202425,2024,2024-04-11,25,"Wankhede Stadium, Mumbai",Mumbai,RCB,MI,MI,field,196.0,8.0,199.0,3.0,MI,7.0,wickets,JJ Bumrah,"V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, KD Karthik, MK Lomror, Saurav Chauhan, Vijaykumar Vyshak, Akash Deep, RJW Topley, Mohammed Siraj","Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, HH Pandya, Tilak Varma, TH David, Mohammad Nabi, R Shepherd, S Gopal, JJ Bumrah, G Coetzee",Nitin Menon,VA Kulkarni,VK Sharma
202426,2024,2024-04-12,26,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,LSG,DC,LSG,bat,167.0,7.0,170.0,4.0,DC,6.0,wickets,Kuldeep Yadav,"Q de Kock, KL Rahul, D Padikkal, MP Stoinis, N Pooran, DJ Hooda, A Badoni, KH Pandya, Arshad Khan, Ravi Bishnoi, Naveen-ul-Haq, Yash Thakur","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, RR Pant, T Stubbs, SD Hope, AR Patel, Kuldeep Yadav, Mukesh Kumar, I Sharma, Abishek Porel",R Pandit,YC Barde,BNJ Oxenford
202427,2024,2024-04-13,27,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,PBKS,RR,RR,field,147.0,8.0,152.0,7.0,RR,3.0,wickets,SO Hetmyer,"Atharva Taide, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, Shashank Singh, LS Livingstone, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","KR Sen, YBK Jaiswal, Tanush Kotian, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, KA Maharaj, TA Boult, Avesh Khan, YS Chahal",AK Chaudhary,Tapan Sharma,J Madanagopal
202428,2024,2024-04-14,28,"Eden Gardens, Kolkata",Kolkata,LSG,KKR,KKR,field,161.0,7.0,162.0,2.0,KKR,8.0,wickets,PD Salt,"Q de Kock, KL Rahul, DJ Hooda, A Badoni, MP Stoinis, N Pooran, KH Pandya, Arshad Khan (2), Mohsin Khan, Ravi Bishnoi, S Joseph, Yash Thakur","CV Varun, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, RK Singh",A Totre,Vinod Seshan,KN Ananthapadmanabhan
202429,2024,2024-04-14,29,"Wankhede Stadium, Mumbai",Mumbai,CSK,MI,MI,field,206.0,4.0,186.0,6.0,CSK,20.0,runs,M Pathirana,"AM Rahane, R Ravindra, RD Gaikwad, S Dube, DJ Mitchell, MS Dhoni, RA Jadeja, Sameer Rizvi, SN Thakur, TU Deshpande, Mustafizur Rahman, M Pathirana","Akash Madhwal, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, S Gopal, JJ Bumrah, G Coetzee",Nitin Menon,HAS Khalid,VK Sharma
202430,2024,2024-04-15,30,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,SRH,RCB,RCB,field,287.0,3.0,262.0,7.0,SRH,25.0,runs,TM Head,"M Markande, Abhishek Sharma, TM Head, H Klaasen, AK Markram, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat, T Natarajan, Nithish Kumar Reddy","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, Saurav Chauhan, KD Karthik, MK Lomror, Anuj Rawat, Vijaykumar Vyshak, RJW Topley, LH Ferguson",AK Chaudhary,R Pandit,BNJ Oxenford
202431,2024,2024-04-16,31,"Eden Gardens, Kolkata",Kolkata,KKR,RR,RR,field,223.0,6.0,224.0,8.0,RR,2.0,wickets,JC Buttler,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, SS Iyer, AD Russell, RK Singh, VR Iyer, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","KR Sen, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Avesh Khan, YS Chahal",MA Gough,UV Gandhe,KN Ananthapadmanabhan
202432,2024,2024-04-17,32,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,DC,DC,field,89.0,10.0,92.0,4.0,DC,6.0,wickets,RR Pant,"WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, A Manohar, R Tewatia, M Shahrukh Khan, Rashid Khan, MM Sharma, Noor Ahmad, SH Johnson, S Sandeep Warrier","KK Ahmed, PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, Sumit Kumar, T Stubbs, AR Patel, Kuldeep Yadav, I Sharma, Mukesh Kumar",NA Patwardhan,VK Sharma,J Madanagopal
202433,2024,2024-04-18,33,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,MI,PBKS,PBKS,field,192.0,7.0,183.0,10.0,MI,9.0,runs,JJ Bumrah,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, R Shepherd, Mohammad Nabi, G Coetzee, S Gopal, JJ Bumrah","Arshdeep Singh, SM Curran, P Simran Singh, RR Rossouw, LS Livingstone, Harpreet Singh, Shashank Singh, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada",A Nand Kishore,VA Kulkarni,Nitin Menon
202434,2024,2024-04-19,34,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,CSK,LSG,LSG,field,176.0,6.0,180.0,2.0,LSG,8.0,wickets,KL Rahul,"AM Rahane, R Ravindra, RD Gaikwad, RA Jadeja, S Dube, Sameer Rizvi, MM Ali, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Q de Kock, KL Rahul, N Pooran, MP Stoinis, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur",AK Chaudhary,R Pandit,BNJ Oxenford
202435,2024,2024-04-20,35,"Arun Jaitley Stadium, Delhi",Delhi,SRH,DC,DC,field,266.0,7.0,199.0,10.0,SRH,67.0,runs,TM Head,"TM Head, Abhishek Sharma, AK Markram, H Klaasen, Nithish Kumar Reddy, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Washington Sundar, B Kumar, T Natarajan, M Markande","KK Ahmed, PP Shaw, DA Warner, J Fraser-McGurk, Abishek Porel, T Stubbs, RR Pant, Lalit Yadav, AR Patel, A Nortje, Kuldeep Yadav, Mukesh Kumar",J Madanagopal,Navdeep Singh,Tapan Sharma
202436,2024,2024-04-21,36,"Eden Gardens, Kolkata",Kolkata,KKR,RCB,RCB,field,222.0,6.0,221.0,10.0,KKR,1.0,runs,AD Russell,"Suyash Sharma, PD Salt, SP Narine, A Raghuvanshi, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, SS Prabhudessai, MK Lomror, KD Karthik, KV Sharma, Mohammed Siraj, LH Ferguson",A Totre,Vinod Seshan,MA Gough
